4830,Michael,Murray,0.9059504685
4590,Michelle,Hooks,0.412099856
4762,Sean,Costilla,0.7820280795
6594,Margaret,Hickman,0.6672511818
5264,Thomas,Morrison,0.1732306283
9552,Marion,Baker,0.5815003621
831,Melinda,Hupp,0.582329755
2881,Susan,Kea,0.0791323332
3156,Victoria,Carpenter,0.7587514361
1084,Armando,Montgomery,0.2844003709
2270,Danny,Williams,0.911347277
4555,Debra,Pettiford,0.6009903157
8221,Martin,Bryant,0.143874489
8420,Morris,Loos,0.7999474327
2980,Fiona,Trevino,0.1458187371
6203,Jennifer,Mitchell,0.6516965479
2868,James,Miller,0.64729
4320,Phillip,Smith,0.8471592881
5709,Julie,Finley,0.7649912827
9164,Kimberly,Miele,0.0326228959
1050,Irvin,Zellmer,0.9868843658
4023,Eddie,Blackwell,0.1443885032
4308,Paul,Ross,0.3515169253
1555,Penelope,Robinson,0.7533141812
400,Mary,Nelson,0.3939869755
8845,Tony,Meza,0.2958058231
6390,Derek,Gaskell,0.7386216924
7129,Russell,Rangel,0.3049653068
9844,Eleanor,Hannum,0.6970182175
5266,Marvin,Wellman,0.0981819171
4295,James,Cohn,0.0368472422
3302,Lloyd,Gragg,0.594164832
7324,Ofelia,Wood,0.9896823587
4948,Mary,Meany,0.885004923
5464,Maurice,Mulkey,0.6001141148
2365,David,Just,0.6951345024
2338,Dawn,Batey,0.2201457096
46,Kenneth,Taylor,0.4650391594
5191,Thelma,Chamberlin,0.6439997985
6832,Lester,Colbert,0.4776776757
5670,Thomas,Todd,0.1010454339
719,George,Gentry,0.46689055
1683,Blanca,Graham,0.8798431761
889,Peggy,Lawrence,0.4276555406
8163,Donna,Lane,0.3677574117
5946,Micheal,Glazer,0.6519625916
907,Susan,Davis,0.1615730829
6921,Donald,Schendel,0.7678496123
8452,Miriam,Cooper,0.6616442609
563,Richard,Dickerson,0.878076422
5580,Andrew,Gilbert,0.0093446691
829,John,Ward,0.6491687486
753,Judy,Williams,0.3518291048
6717,Donna,Heidenreich,0.2252944207
3426,Willie,Wright,0.1726547631
6415,Michael,Mann,0.7524011778
6910,Doris,Presley,0.7505676311
1427,Georgette,Redden,0.014605243
8082,Francis,Hernandez,0.4543730994
2075,David,Woolsey,0.1436994863
