3529,Matthew,Ketner,0.6715674389
8973,Cheryl,Delgado,0.419643183
7403,Margarito,Butler,0.3306321357
5802,Tracy,Dwyer,0.6757894377
4214,Dorothy,Malpass,0.0296505271
2780,Mary,Rutt,0.864114187
2531,Terrance,Connell,0.1280448963
9438,John,Heiman,0.7965742236
4707,Robert,Maloney,0.1556514974
4528,Michael,Beard,0.2061178926
607,Norman,Oakes,0.1855226969
5189,Bethany,Harrison,0.5647738513
5422,Jason,Starner,0.3271812845
4267,Paula,Nelson,0.8331300004
4582,Kathleen,Brito,0.7194893213
5961,Timothy,Hunt,0.0635537179
673,Gary,Garcia,0.6370899733
4738,Kimberly,Wiseman,0.1111099788
4912,Shannan,Bakken,0.4812402772
8433,Joyce,Mccormack,0.2834663689
7330,Carmen,Amerson,0.5973185073
1810,Helen,Parks,0.2303288451
2485,Robert,Whitley,0.8050265287
9018,Antoinette,Reyes,0.7336409225
4385,Michael,Wright,0.766910878
3570,Jason,Campbell,0.1607300253
9633,James,Simpson,0.2732685546
5974,Gail,Mitchell,0.4000963769
6707,Patricia,Demarco,0.6948215587
5273,Anna,Browning,0.0164374579
5737,Vicki,Day,0.4341243315
3217,Dorothy,Himes,0.2974188882
5885,Jo,Deleon,0.9895096305
711,Jennifer,Cunningham,0.0043404694
707,Eric,Phillips,0.5737795481
1788,Fernando,Jones,0.1992925513
1479,Eric,Phillips,0.9087471131
2285,Nancy,Howland,0.1667948531
1369,Ervin,Campbell,0.4438392553
446,Kevin,Cassidy,0.7021662327
8986,Joel,Jefferson,0.2091689368
886,Jewell,Archuleta,0.7609722984
9768,Nicholas,Townsend,0.4142628531
3051,Larry,James,0.1355450121
4018,Kelly,Fulton,0.710701701
3988,David,Loy,0.5741745068
9614,Ronald,Garcia,0.1100794734
9203,Estelle,Baur,0.5679682391
3043,Gale,Krom,0.1971520511
7748,Fredrick,Galloway,0.9801327437
8992,Debbie,Wright,0.5675267531
7926,Leigh,Davis,0.6151171587
5822,Michael,Mcquaid,0.104191079
3344,Raymond,Garrick,0.473834204
183,Latisha,Cohen,0.0968621753
2234,Lindsey,Sullivan,0.3423379413
3326,Nelson,Leavitt,0.4553106551
2521,Eddy,Griffin,0.0895536505
5178,Stefan,Alexander,0.9756166681
8252,Sandra,Kucera,0.9029060418
1822,Judy,Love,0.2500394953
3320,Billie,Smith,0.161532474
1576,Vivian,Severson,0.0863902902
5462,Mandie,Dillon,0.027553977
3546,Grant,Haines,0.6196831267
7911,Conrad,Smith,0.4692610572
6221,Kevin,Allen,0.3236540861
5682,Beau,Clark,0.9460150679
7765,Albert,Torres,0.7071066217
5220,Shauna,Ray,0.0369414815
5565,Heather,Merritt,0.878031611
1939,Kenneth,Marquez,0.6824974059
3449,Marjorie,Wilkins,0.2765439327
8536,Russell,Bennett,0.5337685151
8186,John,Mccarthy,0.2867442479
8445,Vina,Meyers,0.376603279
1911,Edith,Buzzell,0.7690916108
